id,question,category,answer_format,n_matches,entity_match,column_mappings,phrase_matches,n_matches_predict
125,Do all buildings owned by the same people in both periods still serve the same function?,comparison,yes or no,0,0,"[('buildings', 'building', 1), ('buildings', 'building', 2), ('owner_first_name', 'owner_first_name', 1), ('owner_first_name', 'owner_first_name', 2), ('owner_family_name', 'owner_family_name', 1), ('owner_family_name', 'owner_family_name', 2), ('building_functions', 'building_functions', 1), ('building_functions', 'building_functions', 2)]",[],0
126,How many buildings retained the same function across the two time periods?,comparison,a single number,0,0,"[('buildings', 'building_functions', 1), ('buildings', 'building_functions', 2), ('functions', 'building_functions', 1), ('functions', 'building_functions', 2)]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}]",2
127,How many new families appeared in Venice in 1808 that were not present in 1740?,comparison,a single number,0,0,"[('new families', 'owner_first_name', '2'), ('new families', 'owner_family_name', '2'), ('Venice', 'district', '2'), ('appeared', 'building_functions', '2')]","[{'new families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_first_name', 'matches': ['famiglia']}}, {'new families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}, {'venice': {'dataset': 'data/buildings_1808.csv', 'column': 'district', 'matches': ['castello']}}, {'appeared': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['luogo']}}]",4
128,Is there any decrease in the number of buildings held by a family on average from 1740 to 1808?,comparison,yes or no,0,0,"[('family', 'owner_family_name', 1), ('family', 'owner_family_name', 2), ('buildings', 'building_functions_count', 1), ('buildings', 'building_functions_count', 2)]","[{'family': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['dada']}}, {'family': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['casalari']}}]",2
129,Are there any families who moved closer to the churches in general from 1740 to 1808?,comparison,yes or no,1,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('churches', 'landmark_type', 3), ('parish', 'parish', 1), ('district', 'district', 2), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'parish': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santa sofia', 'santa giustina', 'santa margherita', 'santa lucia']}}]",4
130,Are there any families who moved further away from the churches in general from 1740 to 1808?,comparison,yes or no,1,0,"[('families', 'owner_family_name', '1'), ('families', 'owner_family_name', '2'), ('moved further away', 'longitude', '1'), ('moved further away', 'longitude', '2'), ('moved further away', 'latitude', '1'), ('moved further away', 'latitude', '2'), ('churches', 'landmark_type', '3'), ('churches', 'parish', '1'), ('churches', 'district', '2')]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}, {'churches': {'dataset': 'data/buildings_1740.csv', 'column': 'parish', 'matches': ['santi apostoli', 'santa giustina']}}, {'churches': {'dataset': 'data/buildings_1808.csv', 'column': 'district', 'matches': ['santa croce']}}]",5
131,How many families who owned buildings in both 1740 and 1808 changed the type of buildings they owned?,comparison,a single number,0,0,"[('families', 'owner_family_name', '1'), ('families', 'owner_family_name', '2'), ('owned buildings', 'building_functions', '1'), ('owned buildings', 'building_functions', '2')]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'owned buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'casa, fabrico, orto', 'casa, casetta, magazzeno, orto', 'appartamento, casa, magazzeno']}}, {'owned buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['casa, magazzeno, vendivino', 'casa, fabbrica, locale']}}]",4
132,Did any families transition from being tenants in 1740 to building owners in 1808?,comparison,a single entity name,0,0,"[('families', 'owner_family_name', 1), ('families', 'owner_family_name', 2), ('tenants', 'tenant_name', 1), ('building owners', 'owner_first_name', 1), ('building owners', 'owner_family_name', 1)]","[{'families': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'families': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['falier', 'milesi']}}, {'tenants': {'dataset': 'data/buildings_1740.csv', 'column': 'tenant_name', 'matches': ['giovanni battista talota', 'domenico zane']}}]",3
133,Have the squares with the most number of commercial buildings within 100 meters changed from 1740 to 1808?,comparison,yes or no,3,0,"[('squares', 'landmark_type', 3), ('commercial buildings', 'building_functions', 1), ('commercial buildings', 'building_functions', 2), ('longitude', 'longitude', 1), ('latitude', 'latitude', 1), ('longitude', 'longitude', 2), ('latitude', 'latitude', 2)]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}, {'commercial buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['calle, magazzeno']}}, {'commercial buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico', 'fabbrica, locale']}}]",3
134,How many buildings are located within 100 meters from the closest church in 1808 compared to 1740?,comparison,a single number,1,0,"[('buildings', 'building', '1'), ('buildings', 'building', '2'), ('church', 'landmark_type', '3'), ('closest', 'longitude', '1'), ('closest', 'latitude', '1'), ('closest', 'longitude', '2'), ('closest', 'latitude', '2'), ('closest', 'longitude', '3'), ('closest', 'latitude', '3'), ('100 meters', 'longitude', '1'), ('100 meters', 'latitude', '1'), ('100 meters', 'longitude', '2'), ('100 meters', 'latitude', '2'), ('100 meters', 'longitude', '3'), ('100 meters', 'latitude', '3'), ('within', 'longitude', '1'), ('within', 'latitude', '1'), ('within', 'longitude', '2'), ('within', 'latitude', '2'), ('within', 'longitude', '3'), ('within', 'latitude', '3'), ('1808', 'building_functions_count', '2'), ('1740', 'building_functions_count', '1')]","[{'church': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['church']}}]",1
135,How many more buildings are located within 100 meters from the square of San Marco in 1808 compared to 1740?,comparison,a single number,1,0,"[('buildings', 'building_functions', '1'), ('buildings', 'building_functions_count', '1'), ('buildings', 'building_functions', '2'), ('buildings', 'building_functions_count', '2'), ('San Marco', 'landmark_name', '3')]","[{'buildings': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'calle']}}, {'buildings': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['calle, portico']}}, {'san marco': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['piazza san marco']}}]",3
136,What are the names of the most densely populated squares with the most number of buildings within 100 meters in both periods 1740 and 1808?,comparison,a single entity name,1,0,"[('squares', 'landmark_type', 3), ('most densely populated', 'building_functions_count', 1), ('most densely populated', 'building_functions_count', 2), ('within 100 meters', 'longitude', 1), ('within 100 meters', 'latitude', 1), ('within 100 meters', 'longitude', 2), ('within 100 meters', 'latitude', 2)]","[{'squares': {'dataset': 'data/landmarks.csv', 'column': 'landmark_type', 'matches': ['square']}}]",1
137,Which type of a building have been moved further away from the churches the most from 1740 to 1808?,comparison,a single entity name,1,0,"[('type of a building', 'building_functions', '1'), ('type of a building', 'building_functions', '2'), ('moved further away from the churches', 'longitude', '1'), ('moved further away from the churches', 'longitude', '2'), ('moved further away from the churches', 'latitude', '1'), ('moved further away from the churches', 'latitude', '2')]","[{'type of a building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'bottega, casa, casetta, magazzeno']}}, {'type of a building': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['bottega, casa, corto, magazzeno, portico']}}]",2
138,Which type of a building have been moved closer to the churches the most from 1740 to 1808?,comparison,a single entity name,1,0,"[('type of a building', 'building_functions', 1), ('type of a building', 'building_functions', 2), ('churches', 'landmark_name', 3)]","[{'type of a building': {'dataset': 'data/buildings_1740.csv', 'column': 'building_functions', 'matches': ['casa, portico', 'bottega, casa, casetta, magazzeno']}}, {'type of a building': {'dataset': 'data/buildings_1808.csv', 'column': 'building_functions', 'matches': ['bottega, casa, corto, magazzeno, portico']}}, {'churches': {'dataset': 'data/landmarks.csv', 'column': 'landmark_name', 'matches': ['campo de la chiesa', 'campo drio la chiesa', 'chiesa degli ognissanti', 'chiesa delle eremite']}}]",3
139,Did the number of buildings with more than one function increase over time from 1740 to 1808?,comparison,yes or no,0,0,"[('buildings', 'building', '1'), ('buildings', 'building', '2'), ('building_functions_count', 'building_functions_count', '1'), ('building_functions_count', 'building_functions_count', '2')]",[],0
140,Did the family of Michiel loose any of their buildings from 1740 to 1808?,comparison,yes or no,1,1,"[('family of Michiel', 'owner_family_name', '1'), ('family of Michiel', 'owner_family_name', '2'), ('loose', 'owner_family_name', '1'), ('loose', 'owner_family_name', '2')]","[{'family of michiel': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['emo michiel']}}, {'family of michiel': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['michiel']}}, {'loose': {'dataset': 'data/buildings_1740.csv', 'column': 'owner_family_name', 'matches': ['abiati']}}, {'loose': {'dataset': 'data/buildings_1808.csv', 'column': 'owner_family_name', 'matches': ['zerbeti']}}]",4
